Z     age    Bmag   Vmag  
0.015 7.000   7.226  6.105
0.015 7.000   3.938  3.335
0.015 7.000   4.008  3.394
0.015 7.000   1.093  1.163
0.015 7.000   8.296  7.030
0.015 7.000   2.516  2.292
0.015 7.000   6.256  5.300
0.015 7.000   4.101  3.472
0.015 7.000   6.957  5.882
0.015 7.000   7.768  6.566
0.015 7.000   1.309  1.358
0.015 7.000   5.504  4.667
0.015 7.000   3.097  2.642
0.015 7.000   3.036  2.594
0.015 7.000   7.332  6.194
0.015 7.000   1.901  1.843
0.015 7.000   7.649  6.464
0.015 7.000   5.299  4.493
0.015 7.000   4.638  3.930
0.015 7.000   2.654  2.405
0.015 7.000   8.337  7.067
0.015 7.000   2.732  2.464
0.015 7.000   5.553  4.709
0.015 7.000  -1.398 -1.196
0.015 7.000   2.981  2.551
0.015 7.000   7.463  6.305
0.015 7.000   8.288  7.023
0.015 7.000   7.736  6.539
0.015 7.000   8.925  7.582
0.015 7.000   2.560  2.250
0.015 7.000   8.050  6.811
0.015 7.000   4.820  4.085
0.015 7.000   2.548  2.284
0.015 7.000   1.539  1.561
0.015 7.000   8.388  7.113
0.015 7.000   8.406  7.128
0.015 7.000  -2.753 -2.491
0.015 7.000   1.178  1.241
0.015 7.000   7.043  5.953
0.015 7.000   8.182  6.928
0.015 7.000   8.664  7.350
0.015 7.000   6.150  5.211
0.015 7.000   1.880  1.832
0.015 7.000   7.869  6.654
0.015 7.000   9.331  7.969
0.015 7.000   7.797  6.592
0.015 7.000   7.507  6.342
0.015 7.000   1.621  1.630
0.015 7.000   6.745  5.707
0.015 7.000   0.131  0.261
0.015 7.000   0.917  1.001
0.015 7.000   7.819  6.610
0.015 7.000  -1.292 -1.095
0.015 7.000   7.898  6.680
0.015 7.000   6.349  5.377
0.015 7.000   0.472  0.584
0.015 7.000   2.400  2.200
0.015 7.000   8.347  7.075
0.015 7.000  -0.585 -0.419
0.015 7.000   7.826  6.617
0.015 7.000   7.313  6.179
0.015 7.000   7.997  6.765
0.015 7.000   4.468  3.786
0.015 7.000  -2.997 -2.725
0.015 7.000   1.799  1.779
0.015 7.000   5.257  4.457
0.015 7.000   0.167  0.296
0.015 7.000   7.165  6.054
0.015 7.000   6.898  5.833
0.015 7.000   0.703  0.802
0.015 7.000  -2.153 -1.926
0.015 7.000  -0.406 -0.248
0.015 7.000   8.498  7.207
0.015 7.000  -0.881 -0.701
0.015 7.000   5.627  4.772
0.015 7.000   3.332  2.830
0.015 7.000   6.397  5.417
0.015 7.000  -0.274 -0.122
0.015 7.000   9.111  7.755
0.015 7.000   4.910  4.163
0.015 7.000   7.885  6.668
0.015 7.000   7.935  6.712
0.015 7.000   5.247  4.449
0.015 7.000   2.750  2.484
0.015 7.000   6.084  5.156
0.015 7.000   8.272  7.008
0.015 7.000   0.295  0.416
0.015 7.000   3.038  2.596
0.015 7.000   5.202  4.410
0.015 7.000   8.340  7.070
0.015 7.000   2.653  2.311
0.015 7.000   6.167  5.225
0.015 7.000   4.444  3.765
0.015 7.000   8.043  6.806
0.015 7.000   6.685  5.657
0.015 7.000   6.803  5.754
0.015 7.000   8.320  7.051
0.015 7.000   5.698  4.831
0.015 7.000   8.078  6.836
0.015 7.000   7.541  6.372
0.015 7.000  -0.345 -0.190
0.015 7.000   8.294  7.028
0.015 7.000   5.371  4.555
0.015 7.000   9.205  7.845
0.015 7.000   7.346  6.206
0.015 7.000   7.162  6.052
0.015 7.000   0.156  0.285
0.015 7.000   1.483  1.512
0.015 7.000   0.173  0.301
0.015 7.000   1.324  1.372
0.015 7.000   1.728  1.722
0.015 7.000  -0.711 -0.538
0.015 7.000   7.887  6.669
0.015 7.000   7.813  6.606
0.015 7.000   0.720  0.817
0.015 7.000  -0.410 -0.252
0.015 7.000   2.440  2.232
0.015 7.000   7.793  6.588
0.015 7.000  -0.247 -0.097
0.015 7.000   8.103  6.858
0.015 7.000  -0.759 -0.585
0.015 7.000   5.930  5.027
0.015 7.000   8.221  6.963
0.015 7.000   7.829  6.619
0.015 7.000   3.361  2.854
0.015 7.000   6.938  5.866
0.015 7.000   7.021  5.935
0.015 7.000   8.058  6.819
0.015 7.000   1.202  1.263
0.015 7.000   7.130  6.025
0.015 7.000   7.293  6.161
0.015 7.000   6.013  5.096
0.015 7.000   4.514  3.825
0.015 7.000   0.812  0.903
0.015 7.000  -3.285 -3.002
0.015 7.000   2.595  2.356
0.015 7.000   0.533  0.641
0.015 7.000   6.944  5.871
0.015 7.000  -1.736 -1.522
0.015 7.000   5.407  4.585
0.015 7.000   1.268  1.322
0.015 7.000   7.233  6.111
0.015 7.000  -1.568 -1.359
0.015 7.000   0.345  0.464
0.015 7.000   8.161  6.910
0.015 7.000   7.984  6.754
0.015 7.000   7.554  6.383
0.015 7.000  -2.203 -1.975
0.015 7.000  -0.641 -0.472
0.015 7.000   3.333  2.831
0.015 7.000  -0.200 -0.053
0.015 7.000  -1.587 -1.378
0.015 7.000   8.413  7.135
0.015 7.000   5.706  4.838
0.015 7.000  -1.260 -1.064
0.015 7.000   2.998  2.564
0.015 7.000   2.759  2.490
0.015 7.000   5.113  4.335
0.015 7.000   8.340  7.069
0.015 7.000   8.129  6.882
0.015 7.000   5.281  4.478
0.015 7.000  -0.064  0.077
0.015 7.000   7.256  6.131
0.015 7.000  -1.270 -1.073
0.015 7.000   4.533  3.841
0.015 7.000   0.807  0.898
0.015 7.000  -0.105  0.037
0.015 7.000   8.386  7.111
0.015 7.000   8.706  7.387
0.015 7.000   8.349  7.077
0.015 7.000   8.077  6.836
0.015 7.000   1.670  1.672
0.015 7.000   3.113  2.655
0.015 7.000   6.740  5.702
0.015 7.000   8.361  7.088
0.015 7.000   7.334  6.196
0.015 7.000   7.534  6.365
0.015 7.000   7.787  6.583
0.015 7.000   0.196  0.323
0.015 7.000   9.164  7.805
0.015 7.000   9.310  7.948
0.015 7.000   1.877  1.830
0.015 7.000   4.596  3.894
0.015 7.000   1.164  1.228
0.015 7.000   0.599  0.703
0.015 7.000   6.199  5.251
0.015 7.000   6.880  5.818
0.015 7.000   8.415  7.137
0.015 7.000   8.308  7.041
0.015 7.000   6.113  5.180
0.015 7.000  -0.589 -0.422
0.015 7.000   1.821  1.797
0.015 7.000   8.367  7.093
0.015 7.000   8.907  7.565
0.015 7.000   4.055  3.434
0.015 7.000   7.594  6.417
0.015 7.000   7.827  6.617
0.015 7.000  -2.427 -2.192
0.015 7.000   7.488  6.326
0.015 7.000   2.598  2.337
0.015 7.000   7.355  6.214
0.015 7.000   8.076  6.835
0.015 7.000   7.886  6.669
0.015 7.000   1.029  1.105
0.015 7.000   8.326  7.057
0.015 7.000  -0.729 -0.556
0.015 7.000  -2.003 -1.780
0.015 7.000   3.154  2.688
0.015 7.000   1.793  1.775
0.015 7.000   5.916  5.015
0.015 7.000  -1.223 -1.028
0.015 7.000   1.853  1.818
0.015 7.000   7.791  6.586
0.015 7.000   6.723  5.688
0.015 7.000   8.077  6.836
0.015 7.000   7.439  6.284
0.015 7.000   0.573  0.679
0.015 7.000   7.770  6.569
0.015 7.000  -3.489 -3.211
0.015 7.000   1.878  1.831
0.015 7.000   4.273  3.619
0.015 7.000   3.079  2.629
0.015 7.000   4.576  3.877
0.015 7.000   7.152  6.044
0.015 7.000   7.670  6.482
0.015 7.000   6.913  5.846
0.015 7.000   4.179  3.539
0.015 7.000   5.912  5.012
0.015 7.000   1.382  1.423
0.015 7.000   1.012  1.089
0.015 7.000   8.503  7.212
0.015 7.000   8.358  7.085
0.015 7.000   5.252  4.453
0.015 7.000   8.346  7.075
0.015 7.000   6.500  5.503
0.015 7.000   8.924  7.581
0.015 7.000   0.577  0.683
0.015 7.000   7.695  6.504
0.015 7.000   8.348  7.076
0.015 7.000   6.743  5.705
0.015 7.000   7.350  6.209
0.015 7.000   7.035  5.947
0.015 7.000   6.803  5.755
0.015 7.000   5.854  4.963
0.015 7.000  -0.226 -0.078
0.015 7.000  -1.251 -1.055
0.015 7.000   2.568  2.334
0.015 7.000   6.340  5.369
0.015 7.000   0.708  0.806
0.015 7.000   6.602  5.588
0.015 7.000   4.408  3.735
0.015 7.000  -0.855 -0.676
0.015 7.000   7.386  6.239
0.015 7.000   0.976  1.056
0.015 7.000   1.399  1.439
0.015 7.000   8.173  6.920
0.015 7.000   5.792  4.911
0.015 7.000  -3.294 -3.012
0.015 7.000   6.191  5.245
0.015 7.000   8.382  7.107
0.015 7.000   1.890  1.837
0.015 7.000   2.542  2.245
0.015 7.000   2.100  1.977
0.015 7.000   8.204  6.948
0.015 7.000   3.511  2.977
0.015 7.000   2.633  2.371
0.015 7.000   8.539  7.242
0.015 7.000   8.639  7.328
0.015 7.000   8.345  7.074
0.015 7.000   7.986  6.756
0.015 7.000  -1.141 -0.949
0.015 7.000   8.137  6.889
0.015 7.000   1.089  1.160
0.015 7.000   9.201  7.841
0.015 7.000   1.547  1.567
0.015 7.000   6.231  5.278
0.015 7.000  -1.271 -1.074
0.015 7.000   2.605  2.365
0.015 7.000   2.713  2.454
0.015 7.000  -0.046  0.094
0.015 7.000   5.941  5.036
0.015 7.000   0.675  0.775
0.015 7.000   3.190  2.716
0.015 7.000   7.644  6.460
0.015 7.000   4.616  3.912
0.015 7.000   9.202  7.841
0.015 7.000   8.014  6.780
0.015 7.000   3.307  2.811
0.015 7.000  -1.622 -1.412
0.015 7.000  -2.277 -2.046
0.015 7.000   6.999  5.917
0.015 7.000   6.598  5.584
0.015 7.000   8.359  7.086
0.015 7.000   7.501  6.337
0.015 7.000   8.096  6.853
0.015 7.000   2.403  2.202
0.015 7.000   2.531  2.251
0.015 7.000   6.391  5.412
0.015 7.000   7.074  5.978
0.015 7.000   8.691  7.373
0.015 7.000   7.359  6.217
0.015 7.000  -0.797 -0.621
0.015 7.000   3.789  3.209
0.015 7.000   5.261  4.461
0.015 7.000   0.251  0.375
0.015 7.000   9.353  7.991
0.015 7.000   7.162  6.052
0.015 7.000   2.601  2.361
0.015 7.000   7.583  6.408
0.015 7.000   7.660  6.473
0.015 7.000   2.687  2.433
0.015 7.000   0.209  0.335
0.015 7.000   7.162  6.052
0.015 7.000   7.536  6.368
0.015 7.000   8.353  7.081
0.015 7.000   7.996  6.764
0.015 7.000  -1.787 -1.571
0.015 7.000   8.262  7.000
0.015 7.000  -3.368 -3.087
0.015 7.000   8.068  6.827
0.015 7.000  -0.596 -0.429
0.015 7.000   4.639  3.931
0.015 7.000   8.368  7.095
0.015 7.000   6.770  5.727
0.015 7.000   0.790  0.883
0.015 7.000   5.112  4.335
0.015 7.000  -2.201 -1.972
0.015 7.000   8.183  6.929
0.015 7.000  -0.122  0.022
0.015 7.000   8.572  7.271
0.015 7.000   8.950  7.605
0.015 7.000   1.750  1.740
0.015 7.000   9.263  7.902
0.015 7.000   1.542  1.563
0.015 7.000   2.700  2.344
0.015 7.000   1.413  1.450
0.015 7.000   5.997  5.083
0.015 7.000   7.919  6.697
0.015 7.000   5.949  5.043
0.015 7.000   0.126  0.257
0.015 7.000   6.418  5.435
0.015 7.000   2.530  2.245
0.015 7.000   7.865  6.651
0.015 7.000   8.477  7.190
0.015 7.000   6.940  5.868
0.015 7.000  -3.011 -2.738
0.015 7.000  -0.046  0.094
0.015 7.000  -0.203 -0.056
0.015 7.000   8.233  6.974
0.015 7.000   5.925  5.023
0.015 7.000   2.469  2.255
0.015 7.000   8.072  6.831
0.015 7.000   4.466  3.784
0.015 7.000   2.756  2.488
0.015 7.000   8.212  6.955
0.015 7.000   6.989  5.909
0.015 7.000   7.946  6.721
0.015 7.000   0.289  0.411
0.015 7.000   7.461  6.303
0.015 7.000   6.346  5.375
0.015 7.000   4.117  3.486
0.015 7.000   7.819  6.611
0.015 7.000   5.218  4.424
0.015 7.000   8.375  7.101
0.015 7.000   7.911  6.690
0.015 7.000   8.972  7.625
0.015 7.000   7.370  6.226
0.015 7.000   6.764  5.722
0.015 7.000   2.347  2.159
